Date,Open,High,Low,Close,Volume,Volume_ratio_vs_5days,Announcement,hawkish_dovish_ratio,net_sentiment_score,negative_proportion,neutral_proportion,positive_proportion,sentiment_label
15/08/2018,2818.3701171875,2827.949951171875,2802.489990234375,2827.949951171875,3656680000,1.1321986205598262,0,0.0,0.0,0.0,0.0,0.0,
16/08/2018,2840.68994140625,2850.489990234375,2831.43994140625,2831.43994140625,3232000000,0.9905359682243907,0,0.0,0.0,0.0,0.0,0.0,
17/08/2018,2850.1298828125,2855.6298828125,2833.72998046875,2838.320068359375,3037640000,0.9441610796664274,0,0.0,0.0,0.0,0.0,0.0,
20/08/2018,2857.050048828125,2859.760009765625,2850.6201171875,2853.929931640625,2757150000,0.8797559918749047,0,0.0,0.0,0.0,0.0,0.0,
21/08/2018,2862.9599609375,2873.22998046875,2861.320068359375,2861.510009765625,3174010000,1.0007926858492018,0,0.0,0.0,0.0,0.0,0.0,
22/08/2018,2861.820068359375,2867.5400390625,2856.050048828125,2860.989990234375,2701250000,0.9063350344415702,0,0.0,0.0,0.0,0.0,0.0,
23/08/2018,2856.97998046875,2868.780029296875,2854.030029296875,2860.2900390625,2724450000,0.9463510368543541,0,0.0,0.0,0.0,0.0,0.0,
24/08/2018,2874.68994140625,2876.159912109375,2862.35009765625,2862.35009765625,2603010000,0.9323188539721359,0,0.0,0.0,0.0,0.0,0.0,
27/08/2018,2896.739990234375,2898.25,2884.68994140625,2884.68994140625,2865070000,1.0183084905304955,0,0.0,0.0,0.0,0.0,0.0,
28/08/2018,2897.52001953125,2903.77001953125,2893.5,2901.449951171875,2687770000,0.9894930990939915,0,0.0,0.0,0.0,0.0,0.0,
29/08/2018,2914.0400390625,2916.5,2898.39990234375,2900.6201171875,2805520000,1.0249732935257077,0,0.0,0.0,0.0,0.0,0.0,
30/08/2018,2901.1298828125,2912.4599609375,2895.219970703125,2908.93994140625,2810450000,1.020362595502991,0,0.0,0.0,0.0,0.0,0.0,
31/08/2018,2901.52001953125,2906.320068359375,2891.72998046875,2898.3701171875,2887220000,1.0270396406382172,0,0.0,0.0,0.0,0.0,0.0,
